Set,size,BF,,,Approx,,,LS,,,seed,42,,43,,44,,45,,46
,,time (sec),quality,RelErr,time (sec),quality,RelErr,time (sec),quality,min,time (sec),quality,time (sec),quality,time (sec),quality,time (sec),quality,time (sec),quality
Atlanta,20,10,"2,615,310",0.773,0,"2,407,661",0.16,0.034,"2,021,808","2,003,763",0.035,"2,031,423",0.029,"2,003,763",0.037,"2,066,328",0.037,"2,003,763",0.033,"2,003,763"
Berlin,52,10,"20,423",0.609,0.002,"9,774",0.182,0.921,"7,994","7,673",0.798,"8,280",1.112,"8,124",0.842,"8,149",0.935,"7,746",0.918,"7,673"
Boston,40,10,"1,920,454",0.522,0.002,"1,047,626",0.124,0.144,"918,120","902,695",0.145,"911,274",0.137,"902,695",0.155,"949,786",0.16,"923,892",0.122,"902,951"
Champaign,55,10,"147,629",0.636,0.003,"61,508",0.128,2.164,"53,664","52,965",1.995,"52,965",2.329,"53,096",2.401,"55,734",2.07,"53,438",2.025,"53,089"
Cincinnati,10,1.959,"277,952",0,0,"296,972",0.064,0.015,"277,952","277,952",0.015,"277,952",0.015,"277,952",0.015,"277,952",0.015,"277,952",0.016,"277,952"
Denver,83,10,"407,324",0.738,0.008,"124,987",0.147,3.296,"106,664","103,532",3.552,"107,885",2.911,"112,345",3.486,"105,110",3.18,"103,532",3.351,"104,447"
NYC,68,10,"5,367,411",0.691,0.005,"1,825,255",0.093,3.004,"1,656,117","1,637,482",3.092,"1,641,001",3.152,"1,681,564",3.1,"1,661,237",2.727,"1,637,482",2.95,"1,659,302"
Philadelphia,30,10,"2,157,312",0.342,0.001,"1,708,704",0.17,0.08,"1,418,663","1,395,981",0.09,"1,429,122",0.077,"1,436,116",0.077,"1,395,981",0.081,"1,395,981",0.074,"1,436,116"
Roanoke,230,10,"6,092,820",0.87,0.125,"789,208",-0.005,9.594,"793,281","735,443",9.212,"845,768",9.821,"819,518",10,"755,032",9.375,"810,646",9.561,"735,443"
SanFrancisco,99,10,"4,510,858",0.797,0.013,"1,076,396",0.151,4.611,"914,279","883,101",4.604,"907,919",4.596,"883,101",5.171,"918,699",4.094,"924,522",4.591,"937,154"
Toronto,109,10,"7,750,569",0.829,0.016,"1,600,675",0.173,4.877,"1,323,810","1,279,878",4.631,"1,333,445",5.497,"1,279,878",5.115,"1,376,709",4.681,"1,296,737",4.464,"1,332,281"
UKansasState,10,2.045,"62,962",0,0,"66,529",0.054,0.017,"62,962","62,962",0.017,"62,962",0.017,"62,962",0.014,"62,962",0.021,"62,962",0.018,"62,962"
UMissouri,106,10,"592,160",0.759,0.014,"153,063",0.069,3.754,"142,506","138,334",3.717,"140,083",3.84,"141,735",3.755,"146,905",3.622,"145,472",3.836,"138,334"
